Utente;Regola;Nl
31;RELAX;WHEN la televisione si accende AND IF è rilevato qualcuno seduto sul divano ADATTA la luminosità dello schermo in base al contesto per una migliore visione AND IMPOSTA il «non disturbare» sul suo cellulare.
31;INTRATTENIMENTO;WHEN entro in bagno AND IF l’orario è prima delle 11 a.m. AND IF rimango in questa stanza per più di 5 minuti PARTE la ventilazione AND alexa LEGGE il meteo di oggi e le ultime notizie.
32;Pulizia automatica;Quando i sensori di movimento rilevano lo spostamento dell’utente dalla cucina a un’altra stanza, allora il Roomba si accende e pulisce il pavimento
32;Antincendio;Quando l’utente non è in cucina si attivano i sensori antincendio e si spengono le piastre
32;Dragon Ball;Se l’utente è in salotto quando sono le 14:00 allora la tv si accende sul canale del programma (per esempio Dragon Ball, può essere applicato su qualsiasi programma televisivo)
32;Sonno immediato;Se il sensore del letto rileva la presenza dell’utente e se l’utente non sta usando il telefono allora le luci si spengono e le finestre si chiudono
32;Doccia senza pensieri;Se i sensori di movimento rilevano la presenza dell’utente in bagno e si sta facendo la doccia, allora Alexa accende la musica e la finestra si apre
32;Dal citofono dal bagno;Quando i sensori di movimento rilevano l’utente in bagno, se il citofono rileva un estraneo e l’utente sta usando il telefono, allora può rispondere al citofono col telefono e aprire il cancello col telefono
33;Livello Cloro Piscina;Quando il cloro in piscina è minore di 1 Invia notifica
33;Controllo Ingresso;Quando lettore di impronte digitali non riconosce l’impronta, invia una notifica al cellulare e suona il campanello.
33;Pulizia Wc;Se la presenza dei batteri nel WC è maggiore del 30% si avvia la pulizia automatica del Water.
33;Rilevatore Zanzare;Se viene rilevato il movimento delle zanzare nella stanza e la finestra è aperta, viene inviato un segnale che eroga l’insetticida nell’ambiente e chiude le finestre.
33;Controllo Gas;Quando il sensore infrarossi non rileva nessun calore umano e/o animale e se viene rilevata perdita di Gas viene inviata una notifica all’utente e il gas viene chiuso automaticamente.
33;Allarme Esterno;Quando viene rilevato un movimento nel giardino posteriore, il trigger segnale l’evento tramite l’accensione delle Luci esterne e dell’allarme se la distanza utente e maggiore o uguale a 200mt oppure il sensore sul letto ha rilevato il peso.
34;Animali liberi e sicuri;Quando l’animale esce dal perimetro di casa, accendi il rilevatore di posizione del collare
34;Allarme intelligente;Quando il codice dell’allarme non viene inserito in maniera corretta, connetti la telecamera del videocitofono all’app e invia notifica a utente
34;Illuminazione senza spreco ;Quando la porta dell’ingresso si chiude e l’utente non è rilevato nella stanza, spengi la luce nell’ingresso
34;Riscaldamento centralizzato;Quando l’utente è rilevato in una stanza, se la temperatura è sotto i 18 gradi accendi il riscaldamento, la termocoperta e il deumidificatore
34;Riscaldamento intelligente;Quando l’utente accende il riscaldamento, se la temperatura rilevata nei pannelli solari è sopra 40 gradi, disattiva la caldaia e attiva il riscaldamento con i pannelli solari
34;Gestione da remoto;Quando l’utente attiva la funzionalità tramite app sul telefono, se l’orario è tra le 21.00 e le 2.00 e se non piove, attiva l’irrigazione del giardino e la pulizia della piscina
